band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,iter2_r,iter2_eta,kstest_stat_iter2,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,258505000.0,158928370.0,407882050.0,356.08157,99.1333,600.4443,45000.0,0.16,1.0,0.0109127809240557,0.0063984224173442,0.0444317214601078,0.14,0.1611,1.057,0.009405159443186,0.1611,1.057,0.009405159443186,0.1611,1.057,0.009405159443186,21357,5228.25,0.0459898,3.7918199999999984e-83,4618.87,0.0200047,4.48717e-16,3666.45,0.017295,4.01665e-12,0.00069307493
5,152978510.0,86311510.0,311299740.0,813.59064,103.77999,2060.548,117000.0,0.16,0.7,0.0112555024546456,0.0039690102483117,0.0520689393386358,0.14,0.162,0.809,0.0084295484929687,0.1618,0.799,0.0085693328560367,0.162,0.809,0.0084295484929687,24678,3625.82,0.0428075,9.710739999999996e-187,3210.7,0.0185558,2.0035000000000003e-35,2556.89,0.0125881,1.56077e-16,1.1948094e-07
8,51216776.0,30030232.0,95833080.0,612.8061,92.325806,1727.8018,189000.0,0.18,1.5,0.0088142983889866,0.0031230403979095,0.0453448697155484,0.15,0.1784,1.39,0.0072855950535161,0.1785,1.396,0.0073166765310624,0.1784,1.39,0.0072855950535161,35437,2415.73,0.0376717,1.75126e-233,2142.53,0.014049,7.833270000000001e-33,1699.58,0.00867424,8.83646e-13,3.8464182e-09
11,30906166.0,12614540.0,127853150.0,5769.239,83.0579,6259.8403,495000.0,0.19,1.7,0.0083972093203444,0.0019299803152697,0.0443910841010175,0.15,0.1876,1.626,0.0056899229349653,0.1877,1.633,0.0057146731508582,0.1876,1.626,0.0056899229349653,58729,1768.99,0.0339408,0.0,1566.51,0.0109738,3.31042e-52,1254.99,0.00589581,2.25866e-15,2.3961378e-14
14,10556804.0,5359151.0,34582852.0,2610.0828,75.71078,4860.0464,1134000.0,0.2,2.0,0.0062939854984342,0.0012751894232635,0.0486018417812472,0.16,0.1986,1.903,0.0051770366094212,0.1987,1.909,0.005211131718584,0.1986,1.903,0.0051770366094212,70875,1255.23,0.032912,0.0,1105.25,0.00882329,4.14335e-77,896.809,0.00565886,5.723740000000001e-32,7.9503775e-27
17,6451851.0,2578067.5,33936850.0,11181.922,65.416466,7685.5044,2574000.0,0.2,1.5,0.0064674289436898,0.0008464353782179,0.0403605761595009,0.16,0.1974,1.413,0.0036292227821763,0.1975,1.419,0.0036431215632408,0.1974,1.413,0.0036292227821763,135736,898.748,0.0344829,0.0,790.984,0.00940295,4.2033999999999986e-198,640.072,0.00674281,4.463819999999997e-102,7.1181244e-30
20,3491903.0,1486022.9,17120646.0,6724.6265,70.291565,6708.6846,5967000.0,0.19,0.7,0.0066971166734985,0.0005559445407404,0.0288265522425901,0.17,0.1927,0.815,0.0043286382502517,0.1925,0.807,0.0043974120002887,0.1927,0.815,0.0043286382502517,99558,623.315,0.0394092,0.0,549.624,0.0141321,0.0,441.611,0.0100263,0.0,1.540882699999999e-97
23,1724653.2,591100.3,11486877.0,16738.59,63.702858,8285.558,13887000.0,0.2,0.6,0.0124524284930973,0.0003644288842482,0.0267606608242136,0.18,0.1977,0.58,0.0054692280446678,0.1977,0.58,0.0054692280446678,0.1977,0.58,0.0054692280446678,61026,378.296,0.0422603,0.0,334.47,0.0175408,0.0,266.949,0.012045,0.0,0.0
26,1045735.8,169787.45,10570935.0,32596.104,71.61246,9318.733,31968000.0,0.2,0.1,0.0085305099674886,0.0002401951053511,0.0293585042388651,0.2,0.2014,0.145,0.0060733825004464,0.2014,0.145,0.0060733825004464,0.2014,0.145,0.0060733825004464,52680,177.876,0.0479414,0.0,158.158,0.0227836,0.0,124.782,0.0179583,0.0,0.0
29,111884.68,21236.27,904638.9,26453.193,91.602455,9072.577,73701000.0,0.22,-0.2,0.0136069190259666,0.0001581934199511,0.0221649375841118,0.23,0.2191,-0.228,0.0099406933349226,0.2191,-0.228,0.0099406933349226,0.2191,-0.228,0.0099406933349226,17993,52.4803,0.0555337,0.0,46.78,0.0308671,0.0,36.9039,0.0250499,0.0,0.0
32,4155.7266,2176.4397,11599.141,1816.9076,91.58009,3932.401,59634000.0,0.29,0.1,0.0174575773742663,0.0001758642001808,0.0191029478223941,0.28,0.2823,0.01,0.0147715561701157,0.283,0.02,0.0149288035652262,0.2823,0.01,0.0147715561701157,8188,18.2833,0.0479459,0.0,16.2233,0.025693,0.0,13.0003,0.017161,0.0,0.0
