band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.0,0.0088467481160276,0.158,0.91,0.006226041378355918,48052
5,117000.0,0.17,1.3,0.010595600695423,0.169,1.25,0.009552856305624524,20821
8,189000.0,0.18,1.5,0.0095510459937379,0.178,1.42,0.007421813000292529,35437
11,495000.0,0.18,1.2,0.0045392488036209,0.179,1.14,0.00432382859927638,104413
14,1134000.0,0.19,1.4,0.0057677017083533,0.189,1.33,0.0037169894464247916,134550
17,2574000.0,0.19,1.0,0.0070037326682624,0.191,1.08,0.0026082358071736903,271476
20,5967000.0,0.2,1.1,0.00727401972406,0.197,1.02,0.003416622298249905,157332
23,13887000.0,0.2,0.6,0.0088741251500463,0.2,0.64,0.0042838693453018314,102981
26,31968000.0,0.21,0.3,0.0102335694271203,0.206,0.21,0.007677170477757511,31218
29,73701000.0,0.23,-0.1,0.0158152300297693,0.222,-0.2,0.010680420737200214,17077
